Line_Item,2024,2025,2026,2027,2028
Inventory,12000,15000,18000,19000,21000
Trade Receivables,8000,9000,7500,8500,10000
Cash and Cash Equivalents,5000,4000,3000,4500,6000
Trade Payables,10000,12000,14000,13000,15000
Short-Term Borrowings,2000,3000,4000,3500,3000
Revenue,80000,95000,90000,105000,120000
Cost of Sales,-50000,-60000,-58000,-65000,-72000
Long-Term Borrowings,40000,35000,45000,40000,38000
Share Capital,20000,20000,20000,20000,20000
Retained Earnings,15000,22000,25000,35000,45000
Net Income,12000,14000,10000,18000,22000
Total Assets,150000,165000,170000,185000,200000
Market Price per Share,15,18,16,20,25
Number of Shares,1000,1000,1000,1000,1000
Dividends Paid,2000,2500,1500,3000,4000
EBIT,18000,21000,19000,26000,32000
Interest Expense,4000,3500,4500,4000,3800
Operating Cash Flow,15000,18000,14000,22000,28000
